@relation 'AGR_abrupt drift 4*2500 drifted function:1,3,5,7 generators.AgrawalGenerator -i 100 -p 0.1 -b'

@attribute salary numeric
@attribute commission numeric
@attribute age numeric
@attribute elevel {level0,level1,level2,level3,level4}
@attribute car {car1,car2,car3,car4,car5,car6,car7,car8,car9,car10,car11,car12,car13,car14,car15,car16,car17,car18,car19,car20}
@attribute zipcode {zipcode1,zipcode2,zipcode3,zipcode4,zipcode5,zipcode6,zipcode7,zipcode8,zipcode9}
@attribute hvalue numeric
@attribute hyears numeric
@attribute loan numeric
@attribute class {groupA,groupB}

@data

107329.50764390378,0.0,48.0,level3,car12,zipcode4,135000.0,16.0,329720.6917591025,groupB
111982.12741605069,0.0,42.0,level3,car7,zipcode8,135000.0,30.0,311239.9377590573,groupA
103300.2725427269,0.0,48.0,level3,car11,zipcode8,135000.0,27.0,216853.57835275697,groupB
127550.84716640145,0.0,24.0,level0,car1,zipcode2,135000.0,19.0,117932.0280918895,groupA
74566.2582580405,32686.404674001315,49.0,level0,car10,zipcode3,135000.0,3.0,203897.13486299233,groupB
68906.84729183676,44739.87369438461,70.0,level3,car14,zipcode9,75040.82207633881,3.0,440516.00066194835,groupA
142152.308361494,0.0,55.0,level0,car5,zipcode8,135000.0,4.0,10531.053463173128,groupB
132586.6495797417,0.0,66.0,level1,car12,zipcode8,124272.88442882359,5.0,484888.1016757244,groupA
131808.65449392624,0.0,56.0,level4,car20,zipcode2,135000.0,6.0,119283.50398546035,groupB
37364.50655421701,40497.9147529476,33.0,level2,car17,zipcode1,135000.0,4.0,481960.9028897726,groupA
33996.96777146743,23480.232268792795,55.0,level3,car12,zipcode3,135000.0,23.0,19311.48526030706,groupB
147092.37969374142,0.0,80.0,level3,car1,zipcode6,135000.0,21.0,341839.156733301,groupA
104611.08917041123,0.0,46.0,level2,car10,zipcode4,135000.0,3.0,49462.54204547856,groupB
99056.78199460014,0.0,20.0,level1,car5,zipcode7,135000.0,30.0,349619.4641176546,groupA
140174.0537167276,0.0,49.0,level1,car4,zipcode6,135000.0,24.0,350623.25821851875,groupB
58786.8853972264,64503.73420238765,28.0,level0,car19,zipcode3,135000.0,27.0,14718.47578119293,groupA
125666.8543777427,0.0,50.0,level2,car20,zipcode5,135000.0,16.0,265201.4859405023,groupB
46996.01469485522,29531.433611013545,63.0,level0,car20,zipcode2,135000.0,30.0,286229.4503501316,groupA
40773.95294782001,37408.59063690001,50.0,level3,car14,zipcode3,135000.0,4.0,3590.679924221262,groupB
52506.33821853411,10000.0,40.0,level1,car12,zipcode2,135000.0,28.0,302806.2884123786,groupA
69594.83363317313,0.0,45.0,level0,car18,zipcode6,135000.0,16.0,187934.03266051022,groupB
124867.53876681991,0.0,68.0,level4,car9,zipcode1,135000.0,26.0,389595.9368206153,groupA
46535.556647829086,53913.049510577395,53.0,level3,car14,zipcode8,135000.0,23.0,287011.3716357923,groupB
50673.878197466736,52544.232945758944,39.0,level3,car10,zipcode2,135000.0,17.0,314205.54856509226,groupA
44483.798537518465,49374.83119945825,44.0,level4,car3,zipcode2,135000.0,9.0,175343.0252993428,groupB
42819.11976878805,34283.77221687528,21.0,level2,car9,zipcode6,135000.0,20.0,46925.42837616097,groupA
39217.50671557557,53629.11400068902,46.0,level3,car10,zipcode2,135000.0,22.0,500000.0,groupB
65664.96632077554,63640.67264962504,68.0,level1,car14,zipcode2,135000.0,16.0,182043.89593897213,groupA
113900.63552794435,0.0,52.0,level0,car2,zipcode2,135000.0,3.0,103120.27424176178,groupB
115205.03462768353,0.0,32.0,level3,car3,zipcode6,135000.0,14.0,500000.0,groupA
133340.63485593034,0.0,58.0,level4,car18,zipcode5,135000.0,13.0,368271.0502361929,groupB
58652.81401323367,54443.157188329926,31.0,level4,car12,zipcode3,135000.0,7.0,0.0,groupA
138010.43953827396,0.0,46.0,level4,car2,zipcode2,135000.0,30.0,215481.71615478382,groupB
115123.30995781216,0.0,31.0,level1,car12,zipcode8,135000.0,1.0,399961.65571661416,groupA
131167.00261649885,0.0,50.0,level4,car1,zipcode8,135000.0,6.0,173165.74629854164,groupB
61406.75522663105,41168.11238985375,28.0,level0,car4,zipcode9,126643.76321072273,27.0,172505.09840078256,groupA
140436.27364379837,0.0,41.0,level0,car18,zipcode2,135000.0,1.0,156392.0361872483,groupB
109098.59638684272,0.0,21.0,level1,car7,zipcode9,77586.16624498862,21.0,311567.73164578225,groupA
79236.16766481094,0.0,35.0,level3,car15,zipcode8,135000.0,20.0,293668.15042845893,groupB
115837.77403362084,0.0,30.0,level0,car20,zipcode8,135000.0,23.0,230493.6309701173,groupA
50250.35662290527,61909.37138377419,41.0,level4,car17,zipcode4,135000.0,11.0,143932.0630705758,groupB
