@relation 'AGR_abrupt drift 4*2500 drifted function:1,3,5,7 generators.AgrawalGenerator -i 80 -p 0.1 -b'

@attribute salary numeric
@attribute commission numeric
@attribute age numeric
@attribute elevel {level0,level1,level2,level3,level4}
@attribute car {car1,car2,car3,car4,car5,car6,car7,car8,car9,car10,car11,car12,car13,car14,car15,car16,car17,car18,car19,car20}
@attribute zipcode {zipcode1,zipcode2,zipcode3,zipcode4,zipcode5,zipcode6,zipcode7,zipcode8,zipcode9}
@attribute hvalue numeric
@attribute hyears numeric
@attribute loan numeric
@attribute class {groupA,groupB}

@data

81801.67083742426,0.0,48.0,level0,car5,zipcode6,135000.0,29.0,86249.7320078104,groupB
118045.05496010452,0.0,72.0,level1,car3,zipcode8,135000.0,13.0,164450.87361787894,groupA
105256.20259557429,0.0,48.0,level3,car9,zipcode5,135000.0,9.0,338721.6437638228,groupB
35151.82487529223,32100.229670399465,54.0,level1,car2,zipcode5,135000.0,15.0,32779.69710377414,groupA
138002.43784348705,0.0,47.0,level2,car20,zipcode3,135000.0,14.0,444061.4776302758,groupB
99677.21711095964,0.0,20.0,level4,car6,zipcode1,135000.0,20.0,367932.64098253875,groupA
56475.70482873098,19571.185867936674,44.0,level1,car15,zipcode2,135000.0,20.0,119329.44020574888,groupB
134215.0455976295,0.0,66.0,level4,car15,zipcode6,135000.0,11.0,46403.510704671804,groupA
147701.1022476791,0.0,57.0,level1,car5,zipcode3,135000.0,27.0,175530.7037449369,groupB
57568.1168537448,20873.71165758182,62.0,level3,car18,zipcode3,135000.0,25.0,217470.37963884714,groupA
136711.21775605046,0.0,46.0,level4,car1,zipcode5,135000.0,20.0,399388.53958699247,groupB
112859.70770728687,0.0,67.0,level2,car9,zipcode7,135000.0,10.0,436684.4318959092,groupA
117220.28705628122,0.0,60.0,level2,car1,zipcode4,135000.0,18.0,282091.99377296906,groupB
150000.0,0.0,72.0,level1,car18,zipcode8,135000.0,6.0,223947.02302638133,groupA
133685.69993959164,0.0,50.0,level0,car3,zipcode5,135000.0,11.0,151602.12569565704,groupB
43438.506921765416,59712.48206857131,70.0,level1,car20,zipcode5,135000.0,14.0,0.0,groupA
134108.58038426595,0.0,58.0,level3,car14,zipcode9,130688.373631829,25.0,283704.83986845816,groupB
73324.63390920646,0.0,30.0,level0,car20,zipcode6,135000.0,5.0,281333.2989304936,groupA
72426.99966626873,0.0,47.0,level1,car5,zipcode8,135000.0,6.0,370190.10738412687,groupB
30961.87858612551,54898.739741055426,61.0,level0,car12,zipcode4,135000.0,2.0,156350.46057178575,groupA
40597.707590473845,50388.64567294007,43.0,level4,car11,zipcode2,135000.0,12.0,67667.05634461118,groupB
31765.9705365998,14371.65359076898,76.0,level1,car17,zipcode2,135000.0,8.0,100999.20776589384,groupA
27392.335483859097,14794.261885234313,41.0,level0,car3,zipcode3,135000.0,30.0,259210.02850655725,groupB
77929.77362665607,0.0,70.0,level4,car11,zipcode1,135000.0,20.0,27918.576092737545,groupA
134638.75470545123,0.0,49.0,level0,car1,zipcode1,135000.0,18.0,443399.6466164299,groupB
42767.71150823962,49822.02112785551,80.0,level2,car11,zipcode4,135000.0,30.0,231594.67421664757,groupA
50362.047174947285,29714.958182253267,35.0,level4,car17,zipcode6,135000.0,14.0,308086.9716173003,groupB
85082.237356472,0.0,74.0,level3,car8,zipcode4,135000.0,12.0,350431.90958660503,groupA
37388.2825093676,21558.255214663885,58.0,level3,car17,zipcode2,135000.0,10.0,140987.3299459539,groupB
62497.35799302697,19735.11340515256,69.0,level0,car7,zipcode3,135000.0,6.0,356322.33340957685,groupA
128738.23578367369,0.0,52.0,level3,car4,zipcode2,135000.0,23.0,168338.94077270094,groupB
55785.220213246495,27517.023115251122,20.0,level3,car11,zipcode6,135000.0,2.0,500000.0,groupA
125143.04405724739,0.0,43.0,level0,car2,zipcode6,135000.0,1.0,21376.342190677788,groupB
